ST,time,values
E4_Temperature,"1646468394,52637","31,51"
E4_Temperature,"1646468394,77638","31,51"
E4_Temperature,"1646468395,02639","31,51"
E4_Temperature,"1646468395,2764","31,51"
E4_Temperature,"1646468395,52642","31,51"
E4_Temperature,"1646468395,77643","31,51"
E4_Temperature,"1646468396,02644","31,51"
E4_Temperature,"1646468396,27645","31,51"
E4_Temperature,"1646468396,52646","31,51"
E4_Temperature,"1646468396,77647","31,51"
E4_Temperature,"1646468397,02648","31,51"
E4_Temperature,"1646468397,2765","31,51"
E4_Temperature,"1646468397,52651","31,51"
E4_Temperature,"1646468397,77652","31,51"
E4_Temperature,"1646468398,02653","31,51"
E4_Temperature,"1646468398,27654","31,49"
E4_Temperature,"1646468398,52655","31,49"
E4_Temperature,"1646468398,77657","31,49"
E4_Temperature,"1646468399,02658","31,49"
E4_Temperature,"1646468399,27659","31,49"
E4_Temperature,"1646468399,5266","31,49"
E4_Temperature,"1646468399,77661","31,49"
E4_Temperature,"1646468400,02662","31,49"
E4_Temperature,"1646468400,27664","31,49"
E4_Temperature,"1646468400,52665","31,49"
E4_Temperature,"1646468400,77666","31,49"
E4_Temperature,"1646468401,02667","31,49"
E4_Temperature,"1646468401,27668","31,51"
E4_Temperature,"1646468401,52669","31,51"
E4_Temperature,"1646468401,7767","31,51"
E4_Temperature,"1646468402,02672","31,51"
E4_Temperature,"1646468402,27673","31,49"
E4_Temperature,"1646468402,52674","31,49"
E4_Temperature,"1646468402,77675","31,49"
E4_Temperature,"1646468403,02676","31,49"
E4_Temperature,"1646468403,27677","31,49"
E4_Temperature,"1646468403,52679","31,49"
E4_Temperature,"1646468403,7768","31,49"
E4_Temperature,"1646468404,02681","31,49"
E4_Temperature,"1646468404,27682","31,49"
E4_Temperature,"1646468404,52683","31,49"
E4_Temperature,"1646468404,77684","31,49"
E4_Temperature,"1646468405,02686","31,49"
E4_Temperature,"1646468405,27687","31,49"
E4_Temperature,"1646468405,52688","31,49"
